Date,Open,High,Low,Close
1997/9/10,933.75,934.25,916.75,915.25
1997/9/11,916,917.5,900.5,908.5
1997/9/12,908,926.25,904,924
1997/9/15,924.75,930,919.5,921.75
1997/9/16,922.5,949.25,921,946.25
1997/9/17,944.25,952.5,942.25,945.75
1997/9/18,946.25,959.75,945.25,948
1997/9/19,957.75,963.25,953,960.5
1997/9/22,960.25,972,960.25,966.25
1997/9/23,965.25,967.25,956.5,962
1997/9/24,961.5,970.5,952,954.5
1997/9/25,953.75,957.5,945.5,946.5
1997/9/26,946.25,956.5,946.25,953.25
1997/9/29,953.25,964.5,950.25,961.75
1997/9/30,961,965.25,953.25,954.5
1997/10/1,955.5,966.5,954.5,963.5
1997/10/2,963.25,969.5,961,969
1997/10/3,969.25,985.5,961.75,975.5
1997/10/6,976.75,983.75,976.5,981.5
1997/10/7,982,992.25,977.5,989.5
1997/10/8,989.5,991.75,974.75,982.25
1997/10/9,982.25,983.25,969.25,978
1997/10/10,978.75,981,964,925.05
1997/10/13,976.75,981.75,974,976.25
1997/10/14,976.25,981.5,968.5,977.5
1997/10/15,975.75,976.75,968,931.5
1997/10/16,973.5,981.25,955.25,956
1997/10/17,959,960,935.5,948.75
1997/10/20,948.5,963,945,962.25
1997/10/21,963.5,980.5,962,979.5
1997/10/22,979,980.5,970.5,974.25
1997/10/23,973,974.25,947.5,955.5
1997/10/24,956,969,941.5,944
1997/10/27,942.5,944,874,874
1997/10/28,862,933,844,924.5
1997/10/29,924,942,916.25,924.25
1997/10/30,924.5,928.5,902.25,903
1997/10/31,902,926.25,889.75,924
1997/11/3,923.75,945,921.25,945.75
1997/11/4,946,946.75,936.25,942
1997/11/5,941.5,956,938.25,947
1997/11/6,946.5,947.5,937.25,942.25
1997/11/7,942.25,943,916.5,931.25
1997/11/10,930,940.5,922.75,926.25
1997/11/11,926,932.75,922.5,926.5
1997/11/12,926.5,929.5,905.5,908.25
1997/11/13,907,922.5,902.5,919.25
1997/11/14,920,934.75,915,919.25
1997/11/17,932,954.5,915.25,949.9
1997/11/18,950,954.5,940,942.6
1997/11/19,942.25,951.5,936.25,947.8
1997/11/20,948,965.5,947,963
1997/11/21,962.5,971,957.5,969.6
1997/11/24,968.5,969,947,949.8
1997/11/25,950,957.5,944.75,951.7
1997/11/26,952,959.75,948.75,955
1997/11/28,954.75,962.25,953.75,955
1997/12/1,955.5,979.75,955,979.6
1997/12/2,980,982,972,975.1
1997/12/3,974.75,983.75,967.75,977.5
1997/12/4,977.5,985.75,972.5,976.9
1997/12/5,976.25,989,963,986.6
1997/12/8,986.5,989.75,980.5,984.6
1997/12/9,984.75,986.25,974.5,978.9
1997/12/10,978.75,979.75,963.5,970.2
1997/12/11,969.75,970.25,951.25,954.4
1997/12/12,948.5,965,946.75,955.5
1997/12/15,956,967.25,951,963.3
1997/12/16,963,974.25,963,969.5
1997/12/17,969,975.5,964,964.6
1997/12/18,965.25,966,949.75,954.5
1997/12/19,964,964.5,935,957.5
1997/12/22,956.75,968.25,948.25,957.5
1997/12/23,962.75,965,944,962.75
1997/12/24,944.75,953.5,941.5,945
1997/12/26,944,949.5,943,946
1997/12/29,945.5,966.5,941.25,946
1997/12/30,966.5,980.5,965.5,965.75
1997/12/31,979.5,984,975.25,979.25
1998/1/2,979.25,984.5,972.5,984.75
1998/1/5,984.25,992.75,976.5,984.75
1998/1/6,987,987.75,970.5,987
1998/1/7,970.75,974.75,960.5,971
1998/1/8,973.75,977.25,960.5,974
1998/1/9,962,963,925.5,929.5
1998/1/12,929,948.25,914.5,945.5
1998/1/13,945.5,959.75,944.5,959.5
1998/1/14,960,966.25,953.75,963.25
1998/1/15,963.5,964,954.75,955
1998/1/16,955,972.75,952.5,968.5
1998/1/20,968.5,986,966.75,985.25
1998/1/21,984.5,985.25,967.5,975.5
1998/1/22,977.25,977.5,964.25,966.25
1998/1/23,966,972.5,955,964.5
1998/1/26,961,969.75,953.5,963.5
1998/1/27,963.25,979.75,960.75,973.75
1998/1/28,974,985,973,982
1998/1/29,982,999,979.75,987
1998/1/30,987.75,993.5,984,987.75
1998/2/2,988,1009,987.75,1004
1998/2/3,1002.75,1011.75,1001.25,1010.75
1998/2/4,1011,1014.75,1002.75,1009.75
1998/2/5,1009.5,1019.25,1004,1009.5
1998/2/6,1009,1018.75,1008,1009.5
1998/2/9,1019,1022,1010.25,1015
1998/2/10,1014.75,1027.75,1012.5,1024.25
1998/2/11,1024,1026.5,1019.5,1023.75
1998/2/12,1023.5,1031.5,1011.25,1026.75
1998/2/13,1026.75,1028.25,1020.75,1022.25
1998/2/17,1022.5,1033.5,1017.5,1027.5
1998/2/18,1027.5,1036,1024,1035.25
1998/2/19,1035.5,1038,1028.75,1030.75
1998/2/20,1030.25,1038,1024.75,1037.5
1998/2/23,1037.25,1045.75,1033.75,1041.25
1998/2/24,1041.5,1041.75,1030.25,1033.75
1998/2/25,1033.25,1049.5,1032.75,1045.5
1998/2/26,1045.5,1052.5,1042,1052
1998/2/27,1050.5,1055,1046,1050.5
1998/3/2,1049.25,1057,1046.5,1050
1998/3/3,1049.5,1055.25,1044.75,1055.5
1998/3/4,1055.25,1055.5,1043.5,1048
1998/3/5,1045.75,1046,1032,1038.75
1998/3/6,1038.5,1058,1034.5,1057.2
1998/3/9,1054,1061.5,1051,1054
1998/3/10,1054,1067.25,1053.25,1065
1998/3/11,1065,1071,1064.25,1068.5
1998/3/12,1068.5,1073.5,1063.5,1068.5
1998/3/13,1072.25,1080,1067,1069.5
1998/3/16,1069.25,1081,1065.25,1080
1998/3/17,1080,1083,1074.25,1082.5
1998/3/18,1081,1086.25,1078,1085.75
1998/3/19,1086,1090.25,1083.75,1089.7
1998/3/20,1101.5,1113.75,1100.25,1101.75
1998/3/23,1110.5,1113.5,1104,1108.25
1998/3/24,1108.5,1119.25,1107.5,1117
1998/3/25,1117,1125.25,1102.5,1113.75
1998/3/26,1113.75,1118,1107,1110.75
1998/3/27,1110.75,1119.5,1098.75,1107.5
1998/3/30,1106.25,1111,1100.25,1105.75
1998/3/31,1105.5,1122.25,1104.25,1110.5
1998/4/1,1109.75,1121.25,1104.25,1118.25
1998/4/2,1119,1132.75,1116,1131
1998/4/3,1131,1137.5,1128,1131
1998/4/6,1134.5,1142.5,1126.75,1127
1998/4/7,1127.25,1131,1110.5,1119
1998/4/8,1118.5,1123.5,1105,1111.75
1998/4/9,1112.5,1121.25,1111.5,1111.75
1998/4/13,1119,1124.25,1107.5,1117.25
1998/4/14,1117.25,1126,1116.25,1125
1998/4/15,1123.75,1128.75,1119.5,1128.25
1998/4/16,1128.25,1129,1111.75,1115.5
1998/4/17,1116.5,1131.5,1105.75,1115.5
1998/4/20,1130.5,1132.75,1125,1129
1998/4/21,1129,1137.5,1125.75,1135.5
1998/4/22,1135,1140,1133.25,1136.5
1998/4/23,1136,1136.25,1123.5,1126.5
1998/4/24,1125.5,1130.5,1109,1126.5
1998/4/27,1112,1113.75,1081.5,1093.5
1998/4/28,1093.5,1103,1087,1091
1998/4/29,1091.25,1104,1088.75,1096.75
1998/4/30,1096.75,1124,1094.5,1119.25
1998/5/1,1119.25,1130.25,1117.75,1119.25
1998/5/4,1129.5,1137,1126,1128
1998/5/5,1127.75,1128.25,1114.75,1120
1998/5/6,1120,1124.5,1106.25,1106.75
1998/5/7,1106,1111,1097.25,1098.25
1998/5/8,1098.75,1116.75,1096,1098.25
1998/5/11,1115.5,1124.75,1107.25,1112.25
1998/5/12,1111.5,1123,1106.5,1122
1998/5/13,1122,1128,1118.5,1124
1998/5/14,1124,1129.25,1116,1119.5
1998/5/15,1119.5,1123.5,1110,1112.5
1998/5/18,1110.5,1117.25,1100.5,1108.25
1998/5/19,1109.5,1118.75,1107.5,1115.5
